tab 	sites																						
site	location	samples	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	blanket_demag_level_af	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description
19	Layered series	6B102:6B103:6B104:6B105	288	35	51.1	4	4	4	0	0.06	9.8	46.75	-92.19	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Coarsely banded gabbro containing schliera of gabbro pegmatite
20	Layered series	6B106:6B107:6B108	282	33	444.4	3	3	3	0	0.06	3.8	46.77	-92.15	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Road cut. Coarse anorthositic gabbro intrusive granophyre chilled layered series
25	Layered series	6B120	273.5	18.5		1	1	1	0	0.06		46.78	-92.12	Intrusive:Igneous	Pluton	Ferrogranodiorite	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Fine-to medium-grained, dark red, equigranular rock exposed in road cut. Wall rock for basalt dike, station 24"
27	Layered series	6B124	310	40.5		1	1	1	0	0.06		46.77	-92.15	Intrusive:Igneous	Pluton	Granophyre	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Vuggy, quartz-rich granuophyre in 1'-wide dike"
30	Layered series	6B128	284	36.5		1	1	1	0	0.06		46.77	-92.14	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Diabasic gabbro exposed in stream bed. Probably chilled upper contact of layered series
32	Layered series	6B130	290	36		1	1	1	0	0.06		46.77	-92.14	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	About 100' N of station 30. Identical litholigy
33	Layered series	6B131:6B132	288	32		2	2	2	0	0.06		46.77	-92.15	Intrusive:Igneous	Pluton	Ferrogranodiorite	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Fine-grained, reddish gabbro transitional to layered series exposed in stream bed. Contains schliera of gabbro pegmatite"
35	Layered series	K122.2:K122.3:K122.4:K122.5:K122.6:K122.7:6B133:6B134	290	23.5	194.3	8	8	8	0	0.06	3.6	46.79	-92.23	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Coarse, banded feldspathic gabbro. See Taylor (1964, p19-20, sample M3716)"
36	Layered series	6B135:6B136	276	27		2	2	2	0	0.06	29	46.78	-92.21	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Road cut in equigranular, mediu-grained, non-banded gabbro, near Taylor's sample M3720"
37	Layered series	6B137:6B138	273	29		2	2	2	0	0.06	13	46.79	-92.25	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Road cut in relatively mafic, fine-to medium-grained non-banded gabbro. Taylor's sample M3728"
92	Layered series	6B244:6B245:6B246	290	41.5	16.2	3	3	3	0	0.06	20.1	46.81	-92.1	Intrusive:Igneous	Pluton	Granophyre	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Medium-grained granophyre intruded into basalt. Possible contamination. See Taylor (1964, P. 36-37)"
93	Layered series	K121.1:K121.2:K121.3:K121.4:K121.5	284.5	24.5	150.8	5	5	5	0	0.06	5.1	46.83	-92.18	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Banded, medium-grained olivine gabbro, intruded by gabbro pegmatite dike. Taylor (1964, P. 30)"
94	Layered series	6B247:6B248:6B249:6B251	291	36.5	106.8	4	4	4	0	0.06	6.8	46.85	-92.04	Intrusive:Igneous	Pluton	Granophyre	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Road cut in medium-grained granophyre and fin-grained, vuggy, sulfide-rich, possibly hydro-thermally altered granuphyre"
97	Layered series	6B255:6B256	281	28.5		2	2	2	0	0.06	15	46.78	-92.12	Intrusive:Igneous	Pluton	Granophyre	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Medium-grained granophyre exposed in an abandoned quarry. See Taylor (1964, p 35)"
98	Layered series	K130.2:K130.3:K130.4:K130.5:K130.6:K130.7	288.5	34	114.5	6	6	6	0	0.06	5.3	46.77	-92.13	Intrusive:Igneous	Pluton	Granophyre	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Massive granophyre intruded into anorthositic gabbro. Very great range in grain size and color index
99	Layered series	6B257:6B258:6B259	287	35	38.9	3	3	3	0	0.06	13	46.77	-92.12	Intrusive:Igneous	Pluton	Granophyre	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Road cut in material similar to station 98
103	Layered series	6B266:6B267	276	29		2	2	2	0	0.06	6	46.75	-92.18	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Faintly layered, fine-grained gabbro near contact with anorthositic gabbro"
215	Layered series	6B487:6B488	281	48		2	2	2	0	0.06	19	48.08	-90.77	Intrusive:Igneous	Pluton	Diabase	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Very fine-grained contact of diabase dike
217	Layered series	K124.1:K124.2:K124.3:K124.4:K124.5	287	41	52.8	5	5	5	0	0.06	8.6	46.79	-92.2	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Glaciated natural exposure of medium-grained, slightly laminated gabbro"
218	Layered series	K125.1:K125.2:K125.3:K125.4:K125.5:K125.6	284.5	27.5	61.6	6	6	6	0	0.06	7.3	46.79	-92.18	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Glaciated natural exposure of massive, coarse-grined, feldspathic gabbro"
219	Layered series	K126.1:K126.2:K126.3:K126.4:K126.5	284.5	33.5	10.1	5	5	5	0	0.06	19.7	46.79	-92.17	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Lithology like station 217
220	Layered series	K127.1:K127.2:K127.3:K127.4:K127.5	284	30.5	290.5	5	5	5	0	0.06	3.7	46.8	-92.15	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Fine-grained, almost diabasic gabbro Considered to be anorthosite series by Beck, but maps in layered series and description is similar to layered series ""chill zone"""
221	Layered series	K128.1:K128.2:K128.3:K128.4:K128.5	290.5	27.5	1432.7	5	5	5	0	0.06	1.7	46.79	-92.14	Intrusive:Igneous	Pluton	Ferrogranodiorite	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Medium-to very coarse-grained equigranular gabbro exposed in abandoned quarry
60	Lester River Sill	6B189:6B190	286.5	27		3	3	3	0	0.06	2	46.83	-92	Intrusive:Igneous	Diabase	Diabase	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	natural exposure of chilled diabase from a thin sill located about 10m stratigraphically below the Lester River sill. May be an apophasis of the larger sill
62	Lester River Sill	6B193:6B194	270	38		2	2	2	0	0.06	25	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
63	Lester River Sill	6B195	270.5	43.5		1	1	1	0	0.06		46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
64	Lester River Sill	6B196:6B197	284	32		2	2	2	0	0.06	2	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
65	Lester River Sill	6B198:6B199:6B200	276.5	27	354.7	3	3	3	0	0.06	4.3	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
66	Lester River Sill	6B201:6B202	284.5	25		2	2	2	0	0.06	9	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
67	Lester River Sill	6B203:6B204	291.5	27.5		2	2	2	0	0.06	4	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
68	Lester River Sill	6B205:6B206	273.5	39		2	2	2	0	0.06	7	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
70	Lester River Sill	6B207:6B208	283.5	38		2	2	2	0	0.06	5	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
71	Lester River Sill	6B209:6B210	290	39.5		2	2	2	0	0.06	10	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
72	Lester River Sill	6B211:6B212	282.5	33		2	2	2	0	0.06	12	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
73	Lester River Sill	6B213	270.5	38		1	1	1	0	0.06		46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
75	Lester River Sill	KB101.1:KB101.2:KB101.3:KB101.4:KB101.5:KB101.6;KB101.7	273.5	37		2	2	2	0	0.06	7	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
77	Lester River Sill	6B219:6B220	270.5	35		2	2	2	0	0.06	19	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
80	Lester River Sill	6B223:6B224:6B225	271	42		3	3	3	0	0.06		46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
82	Lester River Sill	6B226:6B227:6B228	274	53.5		3	3	3	0	0.06	44	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
84	Lester River Sill	6B229:6B230:6B231	279.5	46.5	7434.9	3	3	3	0	0.06	0.9	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
85	Lester River Sill	6B232:6B233:6B234	279	46	276.3	3	3	3	0	0.06	4.9	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
86	Lester River Sill	6B235	293	33.5		1	1	1	0	0.06		46.85	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
96	Lester River Sill	6B252:6B253:6B254	281.5	35.5	3401.4	3	3	3	0	0.06	1.4	46.845	-91.99	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
183	Logan intrusive	6B466:6B467	120.5	-69.5		2	2	2	0	0.06	3.5	48.07	-90.38	Intrusive:Igneous	Pluton	Diabase	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	"300'W of site 183N. Fine- to medium- grained diabase, with up to 10% granophyre"
184	Logan intrusive	6B468:6B469	130.5	-60		2	2	2	0	0.06	5.5	48.06	-90.41	Intrusive:Igneous	Pluton	Diabase	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	Very fine-grained to aphanitic diabase
216	Logan intrusive	6B489:6B490	290.5	39		2	2	2	0	0.06	5	48.08	-90.76	Intrusive:Igneous	Pluton	Diabase	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Very coarse-grained diabase
203	Pine Mountain granophyre	KB101.1:KB101.2:KB101.3:KB101.4:KB101.5:KB101.6:KB101.7	329	39.5	81.6	7	7	7	0	0.06	5.9	47.9	-90.26	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Medium-grained granophyre-bearing gabbro
