tab 	sites																						
site	location	samples	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	blanket_demag_level_af	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description
222	Anorthositic series	K133.1:K133.2:K133.3:K133.4:K133.5	270.5	43	74.5	5	5	5	0	0.06	7.3	46.76	-92.15	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Very coarse-grained, massive gabbro"
16	Basaltic dike	6B089:6B090	268	46.5		2	2	2	0	0.06		46.7	-92.22	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness 1-1.5m. Strike N65E. Dip nearly vertical
24	Basaltic dike	6B119:6B121	286	8		2	2	2	0	0.06	11.5	46.78	-92.12	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness >5m. Strike N70E. Dip >80 degree
28	Basaltic dike	6B125:6B126	286	28.5		2	2	2	0	0.06	1	46.77	-92.15	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness >10m. Strike N70W. Steep dip.
45	Basaltic dike	6B155:6B156	300	20.5		2	2	2	0	0.06	1	46.8	-92.06	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness >1.5. Attitude N35E 60NW
59	Basaltic dike	6B187:6B188	278.5	11		2	2	2	0	0.06	5.5	46.79	-92.08	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness >3m. Strike N20W. Dip nearly vertical
78	Basaltic dike	6B221:6B222	289	31		2	2	2	0	0.06	7	46.84	-91.99	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness 3m. Strike N15E. Steep dip
87	Basaltic dike	6B236:6B237	287	21		2	2	2	0	0.06	5	46.84	-91.99	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness 2-3m. Strike N20E. Dip not determined
89	Basaltic dike	6B239:6B240	322	36		2	2	2	0	0.06	15	47.08	-91.58	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Thickness 1-15m. Strike N, dip vertical"
91	Basaltic dike	6B242:6B243	260.5	52.5		2	2	2	0	0.06	4	47	-91.71	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness 5-7m. Strike N40W. Dip nearly vertical
