Y,X,ValueId,PolyId,AREA,PERIMETER,DUL_STRPTS,DUL_STRP_1,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
5178838.5602347,566730.837296855,"1","0",0.00000,0.00000,"1","1",ST,A,MGS,"20080615",,MD306.00.1,"19920921",JDM,,NB:MD2/FM:224C.SSE,DF,P,"155","75","2","1","89","12000","205"
5180864.8667509,566983.630765497,"2","0",0.00000,0.00000,"2","2",ST,A,MGS,"20080615",,MD319.01.1,"19920923",JDM,,NB:MD2/FM:224D.10,IT,P,"120","45","2","0","73","12000","240"
5180966.04054526,567083.548523187,"3","0",0.00000,0.00000,"3","3",ST,A,MGS,"20080615",,MD320,"19920923",JDM,JCG,NB:MD2/FM:224D.10,DB,P,"330","76",,"1","108","0","30"
5180998.30690641,568058.546183899,"4","0",0.00000,0.00000,"4","4",ST,A,MGS,"20080615",,MD389.00.3,"19921022",JDM,,NB:MD2/FM:224D.10,IL,P,"20","35","3","1","103","12000","340"
5181169.79147393,568006.010449341,"5","0",0.00000,0.00000,"5","5",ST,A,MGS,"20080615",,MD388.00.1,"19921022",JDM,,NB:MD2/FM:224D.10,GS,L,"230","0","3","0","2","12000","130"
5181655.54290739,567585.898209267,"6","0",0.00000,0.00000,"6","6",ST,A,MGS,"20080615",,MD339.00.1,"19920924",JDM,,NB:MD2/FM:224D.10,DF,P,"30","85","2","1","89","12000","330"
5181969.32814704,566801.762479445,"7","0",0.00000,0.00000,"7","7",ST,A,MGS,"20080615",,MD380.00.1,"19921021",JDM,,NB:MD3/FM:224D.9A,IL,P,"35","15","4","1","103","12000","325"
5182029.59555574,567085.336497223,"8","0",0.00000,0.00000,"8","8",ST,A,MGS,"20080615",,MD379.00.1,"19921021",JDM,,NB:MD3/FM:224D.9A,DB,P,"130","90","3","0","112","12000","230"
5182501.03824965,569209.738088225,"9","0",0.00000,0.00000,"9","9",ST,A,MGS,"20080615",,MD275.1,"20070926",JDM,,NB:JMD07APP/FM:DUL-571E 5184N,VC,P,"65","20",,"1","124","0","295"
5182709.14397647,569642.615322354,"10","0",0.00000,0.00000,"10","10",ST,A,MGS,"20080615",,D-13,"19691106",JCG,,NB:JCG/FM:8,VC,P,"95","23",,"1","124","200000","265"
