Y,X,ValueId,PolyId,AREA,PERIMETER,WDUL_STRPT,WDUL_STR_1,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
5167997.24954257,554108.431214212,"1","0",0.00000,0.00000,"1","1",ST,A,MGS,"20080615",,,"19770000",K&M,,MGS Misc. Map M-25,SB,P,"155","10",,"1","80","12000","205"
5168023.19551963,554645.883596149,"2","0",0.00000,0.00000,"2","2",ST,A,MGS,"20080615",,,"19770000",K&M,,MGS Misc. Map M-25,SB,P,"155","10",,"1","80","12000","205"
5168215.9370635,553700.708717571,"3","0",0.00000,0.00000,"3","3",ST,A,MGS,"20080615",,,"19770000",K&M,,MGS Misc. Map M-25,SB,P,"160","9",,"1","80","12000","200"
5168393.85233476,554038.006419338,"4","0",0.00000,0.00000,"4","4",ST,A,MGS,"20080615",,,"19770000",K&M,,MGS Misc. Map M-25,SB,P,"160","9",,"1","80","12000","200"
5168556.94133341,554467.968324887,"5","0",0.00000,0.00000,"5","5",ST,A,MGS,"20080615",,,"19770000",K&M,,MGS Misc. Map M-25,SB,P,"155","7",,"1","80","12000","205"
5168668.13837795,555450.208884979,"6","0",0.00000,0.00000,"6","6",ST,A,MGS,"20080615",,,"19770000",K&M,,MGS Misc. Map M-25,SB,P,"150","10",,"1","80","12000","210"
5168935.01128485,555131.444023968,"7","0",0.00000,0.00000,"7","7",ST,A,MGS,"20080615",,,"19770000",K&M,,MGS Misc. Map M-25,SB,P,"160","7",,"1","80","12000","200"
5169209.29732804,555057.312660943,"8","0",0.00000,0.00000,"8","8",ST,A,MGS,"20080615",,,"19770000",K&M,,MGS Misc. Map M-25,SB,P,"155","10",,"1","80","12000","205"
5169642.56690401,557163.754394288,"9","0",0.00000,0.00000,"9","9",ST,A,MGS,"20080615",,,"19710000",K&M,,MGS Misc. Map M-25,VC,P,"85","17",,"1","124","24000","275"
5169831.01487063,558799.132850411,"10","0",0.00000,0.00000,"10","10",ST,A,MGS,"20080615",,MD739.5,"20031007",JDM,,NB:MD4/FM:WD5585E/51705N,IM,P,"80","45",,"1","73","24000","280"
5169873.58643703,558554.535103036,"11","0",0.00000,0.00000,"11","11",ST,A,MGS,"20080615",,MD587.00.2,"19971015",JDM,,NB:MD4/FM:223B.SW2,IM,P,"59","24",,"1","73","24000","301"
5169972.36846185,558275.324685965,"12","0",0.00000,0.00000,"12","12",ST,A,MGS,"20080615",,MD591.00.2,"19971015",JDM,,NB:MD4/FM:223B.SW2,IM,P,"70","34",,"0","73","24000","290"
5170076.98906707,558949.574927278,"13","0",0.00000,0.00000,"13","13",ST,A,MGS,"20080615",,MD736.3,"20031007",JDM,,NB:MD4/FM:WD5585E/51705N,IM,P,"75","49",,"1","73","24000","285"
5170094.42993476,558419.712396229,"14","0",0.00000,0.00000,"14","14",ST,A,MGS,"20080615",,MD555.00.1,"19941021",JDM,,NB:DM3/FM:223B.SW2,IT,P,"63","37",,"1","73","24000","297"
