Y,X,ValueId,PolyId,AREA,PERIMETER,DULH_STRPT,DULH_STR_1,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
5178902.072,563809.9087,28,0,0,0,28,28,ST,A,MGS,20080615,,MD253.00.1,19920908,JDM,,NB:MD2/FM:224C.SSC,CI,P,350,47,2,1,75,12000,10
5179019.502,564083.0967,31,0,0,0,31,31,ST,A,MGS,20080615,,MD255.00.1,19920910,JDM,,NB:MD2/FM:224C.SSC,CI,P,5,72,2,1,75,12000,355
5179092.655,563042.9336,33,0,0,0,33,33,ST,A,MGS,20080615,,MD260.00.2,19920914,JDM,,NB:MD2/FM:224C.SSC,CI,P,155,35,3,1,75,12000,205
5179139.93,558593.0729,35,0,0,0,35,35,ST,A,MGS,20080615,,MD176.00.1,19920812,JDM,,NB:MD1/FM:224C.SSW,CI,P,75,18,3,1,75,12000,285
5179305.726,563609.1493,43,0,0,0,43,43,ST,A,MGS,20080615,,MD267.00.1,19920915,JDM,,NB:MD2/FM:224C.SSC,CI,P,120,35,2,1,75,12000,240
5179664.949,564875.5887,54,0,0,0,54,54,ST,A,MGS,20080615,,MD279.00.1,19920916,JDM,,NB:MD2/FM:224C.SSE,CI,P,200,45,3,1,75,12000,160
5183606.766,564742.1742,94,0,0,0,94,94,ST,A,MGS,20080615,,GD-021.2,19920604,JCG,,NB:JCG/FM:C3,CI,P,155,20,,1,75,12000,205
5183914.529,564822.0293,96,0,0,0,96,96,ST,A,MGS,20080615,,DG-268,19930705,JCG,,NB:JCG/FM:E4,CI,P,90,17,,1,75,12000,270
5178496.128,564083.7412,19,0,0,0,19,19,ST,A,MGS,20080615,,MD244.00.1,19920904,JDM,,NB:MD2/FM:224C.SSC,DB,P,55,90,2,1,112,12000,305
5179290.137,565172.8148,40,0,0,0,40,40,ST,A,MGS,20080615,,MD305.00.1,19920921,JDM,,NB:MD2/FM:224C.SSE,DB,P,95,90,3,1,112,12000,265
5179298.471,564674.3985,42,0,0,0,42,42,ST,A,MGS,20080615,,MD278.00,19920916,JDM,,NB:MD2/FM:224C.SSE,DB,P,70,90,4,1,112,12000,290
5178483.643,564004.6719,18,0,0,0,18,18,ST,A,MGS,20080615,,MD244.02.1,19920904,JDM,,NB:MD2/FM:224C.SSC,DF,P,250,80,3,1,89,12000,110
5178838.56,566730.8373,25,0,0,0,25,25,ST,A,MGS,20080615,,MD306.00.1,19920921,JDM,,NB:MD2/FM:224C.SSE,DF,P,155,75,2,1,89,12000,205
5178868.637,563637.0256,26,0,0,0,26,26,ST,A,MGS,20080615,,MD251.00.1,19920908,JDM,,NB:MD2/FM:224C.SSC,DF,P,20,90,4,1,112,12000,340
5179477.073,566109.8669,46,0,0,0,46,46,ST,A,MGS,20080615,,MD298.00.1,19920921,JDM,,NB:MD2/FM:224C.SSE,DF,P,155,90,4,1,112,12000,205
5179997.216,565693.8908,56,0,0,0,56,56,ST,A,MGS,20080615,,MD294.00.1,19920921,JDM,,NB:MD2/FM:224C.SSE,DF,P,180,20,3,1,89,12000,180
5186761.123,563357.1924,123,0,0,0,123,123,ST,A,MGS,20080615,,DG154.2,20041104,JDM,JCG,NB:JMD; FM: DH5186/563,DF,P,145,90,,0,112,0,215
5178702.278,563937.9401,23,0,0,0,23,23,ST,A,MGS,20080615,,MD257.00.1,19920910,JDM,,NB:MD2/FM:224C.SSC,FZ,P,90,90,2,1,128,12000,270
5177755.138,559574.5454,1,0,0,0,1,1,ST,A,MGS,20080615,,MD184.00.1,19920813,JDM,,NB:MD1/FM:224C.SSW,IL,P,103,19,,1,103,12000,257
5177777.083,562193.1916,2,0,0,0,2,2,ST,A,MGS,20080615,,MD216.00.1,19920831,JDM,,NB:MD1/FM:244C.SSC,IL,P,80,10,3,1,103,12000,280
5177909.35,563651.981,4,0,0,0,4,4,ST,A,MGS,20080615,,MD245.00.1,19920907,JDM,,NB:MD2/FM:224C.SSC,IL,P,110,20,3,1,103,12000,250
5177964.081,561387.6607,7,0,0,0,7,7,ST,A,MGS,20080615,,MD221.00.1,19920901,JDM,,NB:MD1/FM:244C.SSC,IL,P,125,18,3,1,103,12000,235
5178115.625,562592.9548,9,0,0,0,9,9,ST,A,MGS,20080615,,MD235.00.1,19920903,JDM,,NB:MD2/FM:244C.SSC,IL,P,105,17,2,1,103,12000,255
5178436.826,563623.8906,15,0,0,0,15,15,ST,A,MGS,20080615,,MD239.00.1,19920904,JDM,,NB:MD2/FM:224C.SSC,IL,P,45,55,3,2,103,12000,315
5178441.401,562513.1204,17,0,0,0,17,17,ST,A,MGS,20080615,,MD399.00.1,19930512,JDM,,NB:MD3/FM:244C.SSC,IL,P,100,20,3,1,103,12000,260
5178562.835,561731.0902,20,0,0,0,20,20,ST,A,MGS,20080615,,MD224.00.1,19920901,JDM,,NB:MD1/FM:244C.SSC,IL,P,63,21,2,2,103,12000,297
5178816.915,557811.6254,24,0,0,0,24,24,ST,A,MGS,20080615,,MD178.00.1,19920812,JDM,,NB:MD1/FM:224C.SSW,IL,P,75,29,3,1,103,12000,285
5179292.74,558137.125,41,0,0,0,41,41,ST,A,MGS,20080615,,MD177.00.1,19920812,JDM,,NB:MD1/FM:224C.SSW,IL,P,152,57,2,2,103,200000,208
