tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
FC1-1a	FC1-1		This study	LP-NOMAG		
FC1-2a	FC1-2		This study	LP-NOMAG		
FC1-3a	FC1-3		This study	LP-NOMAG		
FC1-4a	FC1-4		This study	LP-NOMAG		
FC1-5a	FC1-5		This study	LP-NOMAG		
FC1-6a	FC1-6		This study	LP-NOMAG		
FC1-7a	FC1-7		This study	LP-NOMAG		
FC1-8a	FC1-8		This study	LP-NOMAG		
FC1-9a	FC1-9		This study	LP-NOMAG		
