AREA,PERIMETER,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,MAPLABEL,DESCRIPTN,UNIT_NAME,TERRANE,ERA,SUBDIV,AREA_CALC
1636314.16293000011,4592.88566107000,BG,AB,MGS,"20101215","280644","5379937","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"1635686"
3230527.22424999997,10249.25770290000,BG,AB,MGS,"20101215","467396","5379155","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"3233260"
94386019.02240000665,73287.09121210000,BG,AB,MGS,"20101215","297463","5370353","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"94365148"
1053494.78190000006,3720.95247735000,BG,AB,MGS,"20101215","482354","5379329","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"1054329"
30287511.83559999987,20520.63737230000,BG,AB,MGS,"20101215","223114","5376379","15",Agu,"Granitoid intrusion, undifferentiated or poorly constrained by core and outcrop",,massive to weakly foliated,Neoarchean,Superior Province,"30254966"
37709917.47299999744,23237.09203720000,BG,AB,MGS,"20101215","217658","5375202","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",,massive to weakly foliated,Neoarchean,Superior Province,"37666249"
120144187.68199999630,98209.70266820000,BG,AB,MGS,"20101215","304543","5376449","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"120126619"
22868610.74480000138,18533.13248750000,BG,AB,MGS,"20101215","212894","5375382","15",Agm,"Granite to granodiorite, variably magnetic",,massive to weakly foliated,Neoarchean,Superior Province,"22840623"
230429923.89300000668,105277.29060500000,BG,AB,MGS,"20101215","251402","5367280","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"230263441"
7565018.58370999992,15779.47564390000,BG,AB,MGS,"20101215","512181","5376190","15",Aql,"Lac La Croix Granite; locally pegmatitic and magnetic",,Quetico subprovince,Neoarchean,Superior Province,"7571091"
277154406.16000002623,137397.34900700001,BG,AB,MGS,"20101215","429087","5373608","15",Ams,Schist of sedimentary protolith,,Wabigoon subprovince,Neoarchean,Superior Province,"277335044"
77675933.67910000682,76065.62678700000,BG,AB,MGS,"20101215","398848","5370909","15",Aag,"Mafic to ultramafic hypabyssal intrusive complexes; gabbro, anorthosite",Black River intrusion,Wabigoon subprovince,Neoarchean,Superior Province,"77719517"
17636409.29030000046,17275.92681270000,BG,AB,MGS,"20101215","364714","5376065","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",Oaks intrusion,massive to weakly foliated,Neoarchean,Superior Province,"17642586"
17779389.67390000075,34129.57358820000,BG,AB,MGS,"20101215","221539","5372613","15",Agt,"Tonalite, diorite and granodiorite",,foliated to gneissic,Neoarchean,Superior Province,"17766490"
439473579.56199997663,106204.86848000000,BG,AB,MGS,"20101215","217456","5364907","15",Agt,"Tonalite, diorite and granodiorite",Florian batholith,foliated to gneissic,Neoarchean,Superior Province,"439003078"
35249355.78289999813,26040.60968340000,BG,AB,MGS,"20101215","524670","5372801","15",Aqs,"Biotite schist, paragneiss, and schist-rich migmatite",,Quetico subprovince,Neoarchean,Superior Province,"35277052"
11351626.40570000000,25789.44088990000,BG,AB,MGS,"20101215","519425","5374230","15",Aql,"Lac La Croix Granite; locally pegmatitic and magnetic",pegmatite-Lac La Croix granite,Quetico subprovince,Neoarchean,Superior Province,"11360532"
5597894.16674000025,16680.09659560000,BG,AB,MGS,"20101215","360097","5375313","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"5599581"
17755328.59879999980,22951.27772680000,BG,AB,MGS,"20101215","352625","5373842","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",Oaks west intrusion,massive to weakly foliated,Neoarchean,Superior Province,"17760278"
3917141.70343000023,7097.32392105000,BG,AB,MGS,"20101215","278965","5374770","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"3915568"
4375993.32316999976,7540.15722600000,BG,AB,MGS,"20101215","287620","5374447","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"4374635"
24867358.61659999937,18634.58559810000,BG,AB,MGS,"20101215","307583","5372780","15",Agu,"Granitoid intrusion, undifferentiated or poorly constrained by core and outcrop",,massive to weakly foliated,Neoarchean,Superior Province,"24864703"
5124107.25129000004,9249.15861680000,BG,AB,MGS,"20101215","209253","5374263","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"5117551"
48615856.86969999969,94588.37753350000,BG,AB,MGS,"20101215","436803","5372612","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"48647937"
166015919.43000000715,181313.64354799999,BG,AB,MGS,"20101215","517496","5367583","15",Aqs,"Biotite schist, paragneiss, and schist-rich migmatite",,Quetico subprovince,Neoarchean,Superior Province,"166143947"
29605866.71440000087,20705.01282260000,BG,AB,MGS,"20101215","245816","5371972","15",Agu,"Granitoid intrusion, undifferentiated or poorly constrained by core and outcrop",,massive to weakly foliated,Neoarchean,Superior Province,"29582499"
50664621.47439999878,37848.07153790000,BG,AB,MGS,"20101215","363381","5369665","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",Oaks intrusion,massive to weakly foliated,Neoarchean,Superior Province,"50680871"
4976452.87641000003,12440.30011490000,BG,AB,MGS,"20101215","356761","5372308","15",Ams,Schist of sedimentary protolith,,Wabigoon subprovince,Neoarchean,Superior Province,"4977763"
2351687.38783999998,8040.15874813000,BG,AB,MGS,"20101215","490101","5373249","15",Aql,"Lac La Croix Granite; locally pegmatitic and magnetic",pegmatite-Lac La Croix granite,Quetico subprovince,Neoarchean,Superior Province,"2353568"
3788885.10026000021,9649.95952202000,BG,AB,MGS,"20101215","480981","5371484","15",Aqa,Amphibolitic schist and gneiss,amphibolite,Quetico subprovince,Neoarchean,Superior Province,"3791887"
10696401.17919999920,16235.08100360000,BG,AB,MGS,"20101215","350314","5372287","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",Oaks west intrusion,massive to weakly foliated,Neoarchean,Superior Province,"10699180"
38221040.73369999975,30010.09486460000,BG,AB,MGS,"20101215","210027","5371269","15",Agu,"Granitoid intrusion, undifferentiated or poorly constrained by core and outcrop",,massive to weakly foliated,Neoarchean,Superior Province,"38171268"
466275896.48799997568,296519.25049499999,BG,AB,MGS,"20101215","288493","5334961","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"466162144"
12402283.89640000090,16719.98685720000,BG,AB,MGS,"20101215","409676","5370969","15",Agd,Granodioritic intrusion,,massive to weakly foliated,Neoarchean,Superior Province,"12409741"
1896796.85186999990,10822.04619900000,BG,AB,MGS,"20101215","516112","5370975","15",Aql,"Lac La Croix Granite; locally pegmatitic and magnetic",,Quetico subprovince,Neoarchean,Superior Province,"1898289"
4352670.99053999968,7839.90779154000,BG,AB,MGS,"20101215","268824","5371476","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"4350436"
1799164.10492000007,5201.77948146000,BG,AB,MGS,"20101215","444088","5372012","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"1800467"
2987760.30592000019,6756.73650187000,BG,AB,MGS,"20101215","484413","5370895","15",Aqa,Amphibolitic schist and gneiss,amphibolite,Quetico subprovince,Neoarchean,Superior Province,"2990135"
12081116.37769999914,12825.27942880000,BG,AB,MGS,"20101215","214265","5369274","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",,massive to weakly foliated,Neoarchean,Superior Province,"12066616"
248247706.36800000072,190575.36473800000,BG,AB,MGS,"20101215","318136","5366020","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"248247516"
5248016.80585000012,15480.95159460000,BG,AB,MGS,"20101215","358935","5369633","15",Ams,Schist of sedimentary protolith,,Wabigoon subprovince,Neoarchean,Superior Province,"5249595"
12174881.46979999915,28898.33552300000,BG,AB,MGS,"20101215","344345","5367684","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"12176636"
133305132.62199999392,90723.21193629999,BG,AB,MGS,"20101215","203214","5362751","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"133123182"
