AREA,PERIMETER,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,MAPLABEL,DESCRIPTN,UNIT_NAME,TERRANE,ERA,SUBDIV,AREA_CALC
10201525.39020000026,19353.93697320000,BG,AB,MGS,"20101215","392221","5392969","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"10206316"
2669113.96956000011,11008.79610610000,BG,AB,MGS,"20101215","196635","5392841","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"2665251"
48713326.00090000033,67281.69670470001,BG,AB,MGS,"20101215","382654","5390636","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"48732970"
17154136.56659999862,16942.51948690000,BG,AB,MGS,"20101215","395736","5390998","15",Agm,"Granite to granodiorite, variably magnetic",,massive to weakly foliated,Neoarchean,Superior Province,"17163322"
292429494.71700000763,299918.92651899997,BG,AB,MGS,"20101215","417500","5373835","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"292607782"
219903771.10400000215,177088.73952000000,BG,AB,MGS,"20101215","200434","5388028","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"219628411"
336061354.79500001669,224321.61310500000,BG,AB,MGS,"20101215","265206","5374770","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"335908033"
1174482.62446999992,4018.16503460000,BG,AB,MGS,"20101215","210109","5392275","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"1172998"
16780224.09809999913,14676.64401040000,BG,AB,MGS,"20101215","253991","5390341","15",Agu,"Granitoid intrusion, undifferentiated or poorly constrained by core and outcrop",,massive to weakly foliated,Neoarchean,Superior Province,"16768758"
55550478.02139999717,48721.36718710000,BG,AB,MGS,"20101215","401757","5387020","15",Asd,"Syenitic, monzodioritic, or dioritic pluton",,massive to weakly foliated,Neoarchean,Superior Province,"55578713"
